id,date,x_s,UTM_E,UTM_N
usa_NC_0034_0227,08-Dec-2019,12695.3435147074,457761.551189619,3932726.77325885
usa_NC_0034_0226,08-Dec-2019,12674.704362367,457750.203785515,3932678.23195085
usa_NC_0034_0225,08-Dec-2019,12656.2046200166,457741.133430708,3932629.21350611
usa_NC_0034_0224,08-Dec-2019,12633.9275186883,457728.042559645,3932581.03819956
usa_NC_0034_0223,08-Dec-2019,12614.28415252,457717.761206932,3932532.2437759
usa_NC_0034_0222,08-Dec-2019,12593.0184951313,457705.76474022,3932483.7533713
usa_NC_0034_0221,08-Dec-2019,12570.9326621322,457692.894479927,3932435.45014728
usa_NC_0034_0220,08-Dec-2019,12550.8179463472,457682.133510992,3932386.65046
usa_NC_0034_0219,08-Dec-2019,12528.6742797524,457669.212483066,3932338.30615351
usa_NC_0034_0218,08-Dec-2019,12507.0013434575,457656.792792706,3932289.85524837
usa_NC_0034_0217,08-Dec-2019,12488.306494358,457647.545515108,3932240.72650148
usa_NC_0034_0216,08-Dec-2019,12464.4958190156,457632.848420293,3932192.76303776
usa_NC_0034_0215,08-Dec-2019,12446.0343433464,457623.849833519,3932143.58072563
usa_NC_0034_0214,08-Dec-2019,12424.3370639411,457611.404040231,3932095.13621889
usa_NC_0034_0213,08-Dec-2019,12406.5073126747,457603.078653326,3932045.80884746
usa_NC_0034_0212,08-Dec-2019,12387.4700761518,457593.467773872,3931996.75239154
usa_NC_0034_0211,08-Dec-2019,12369.8417200148,457585.358296658,3931947.37230878
usa_NC_0034_0210,08-Dec-2019,12354.1428207025,457579.304800038,3931897.54994393
usa_NC_0034_0209,08-Dec-2019,12334.7450739436,457569.310338937,3931848.57327901
usa_NC_0034_0208,08-Dec-2019,12310.9860055394,457554.668656163,3931800.59587885
usa_NC_0034_0207,08-Dec-2019,12284.8023853676,457537.443148656,3931753.17566795
usa_NC_0034_0206,08-Dec-2019,12260.1643424939,457521.878100576,3931705.33345509
usa_NC_0034_0205,08-Dec-2019,12235.6809367338,457506.488163922,3931657.40408009
