id,date,days_from_target,x_s,UTM_E,UTM_N
usa_NC_0045_0095,30-Dec-2023 15:41:22,1.34627314814815,1735.35869381118,431846.057895127,4006485.40452119
usa_NC_0045_0094,30-Dec-2023 15:41:22,1.34627314814815,1741.42193547574,431861.703228732,4006438.05201682
usa_NC_0045_0093,30-Dec-2023 15:41:22,1.34627314814815,1746.99109502641,431876.873950381,4006390.55319467
usa_NC_0045_0092,30-Dec-2023 15:41:22,1.34627314814815,1753.38522236691,431892.838459905,4006343.29202636
usa_NC_0045_0091,30-Dec-2023 15:41:22,1.34627314814815,1759.88192892783,431908.902218876,4006296.05767012
usa_NC_0045_0090,30-Dec-2023 15:41:22,1.34627314814815,1765.84811325644,431924.456239501,4006248.66681652
usa_NC_0045_0089,30-Dec-2023 15:41:22,1.34627314814815,1771.48968798641,431939.698448363,4006201.17980263
usa_NC_0045_0088,30-Dec-2023 15:41:22,1.34627314814815,1777.54888095847,431955.342892746,4006153.81108653
usa_NC_0045_0087,30-Dec-2023 15:41:22,1.34627314814815,1782.93341568987,431970.33861678,4006106.24582046
usa_NC_0045_0086,30-Dec-2023 15:41:22,1.34627314814815,1788.30389655946,431985.321166292,4006058.67476342
usa_NC_0045_0085,30-Dec-2023 15:41:22,1.34627314814815,1794.25132690043,432000.859392405,4006011.26724408
usa_NC_0045_0084,30-Dec-2023 15:41:22,1.34627314814815,1800.90231780004,432017.075375889,4005964.05846005
usa_NC_0045_0083,30-Dec-2023 15:41:22,1.34627314814815,1807.87839435658,432033.604974543,4005916.93924085
usa_NC_0045_0082,30-Dec-2023 15:41:22,1.34627314814815,1814.90729403829,432050.238153632,4005869.57123915
usa_NC_0045_0081,30-Dec-2023 15:41:22,1.34627314814815,1822.89084476152,432067.798250181,4005822.43647472
usa_NC_0045_0080,30-Dec-2023 15:41:22,1.34627314814815,1831.48801220203,432085.947266357,4005775.48601171
usa_NC_0045_0079,30-Dec-2023 15:41:22,1.34627314814815,1839.82241264848,432103.841729544,4005728.468446
usa_NC_0045_0078,30-Dec-2023 15:41:22,1.34627314814815,1847.90418915187,432121.491540146,4005681.38599537
usa_NC_0045_0077,30-Dec-2023 15:41:22,1.34627314814815,1854.31371092903,432137.531605956,4005633.82527772
usa_NC_0045_0076,30-Dec-2023 15:41:22,1.34627314814815,1860.01633923962,432152.891054628,4005586.06312725
usa_NC_0045_0075,30-Dec-2023 15:41:22,1.34627314814815,1864.74523899928,432167.313770524,4005538.01950061
usa_NC_0045_0074,30-Dec-2023 15:41:22,1.34627314814815,1870.03543707003,432182.275645293,4005490.14219984
usa_NC_0045_0073,30-Dec-2023 15:41:22,1.34627314814815,1874.98614943751,432196.910768809,4005442.16758422
usa_NC_0045_0072,30-Dec-2023 15:41:22,1.34627314814815,1880.40015638936,432211.990607877,4005394.33178091
usa_NC_0045_0071,30-Dec-2023 15:41:22,1.34627314814815,1885.72045221057,432226.980378084,4005346.46847904
usa_NC_0045_0070,30-Dec-2023 15:41:22,1.34627314814815,1891.43838891361,432242.35237004,4005298.72168074
usa_NC_0045_0069,30-Dec-2023 15:41:22,1.34627314814815,1897.12057862062,432257.690227741,4005250.96327506
usa_NC_0045_0068,30-Dec-2023 15:41:22,1.34627314814815,1903.03285919071,432273.24917905,4005203.27265897
