id,date,x_s,UTM_E,UTM_N
usa_NC_0049_0184,14-Mar-1962,-110.140670520102,422695.856429591,4042858.27989448
usa_NC_0049_0183,14-Mar-1962,-106.035055199316,422709.741742085,4042809.7448226
usa_NC_0049_0182,14-Mar-1962,-111.145655076368,422714.501168978,4042759.84590463
usa_NC_0049_0181,14-Mar-1962,-110.576590806842,422724.884269976,4042710.78909734
usa_NC_0049_0180,14-Mar-1962,-117.210700062567,422728.1355596,4042660.66252371
usa_NC_0049_0179,14-Mar-1962,-130.206073382874,422725.089436231,4042609.58706602
usa_NC_0049_0178,14-Mar-1962,-137.553559079138,422727.635473265,4042559.34925996
usa_NC_0049_0177,14-Mar-1962,-140.202402679113,422734.833284805,4042509.81085536
usa_NC_0049_0176,14-Mar-1962,-141.096039484582,422743.768599043,4042460.53469944
usa_NC_0049_0175,14-Mar-1962,-139.59509986931,422755.07408237,4042411.61759352
usa_NC_0049_0174,14-Mar-1962,-138.825327526149,422765.655535734,4042362.59243205
usa_NC_0049_0173,14-Mar-1962,-135.389772221382,422778.875259,4042313.96869453
usa_NC_0049_0172,14-Mar-1962,-133.937525080025,422790.131570613,4042265.04916953
usa_NC_0049_0171,14-Mar-1962,-138.664246440595,422795.272302757,4042215.20110802
usa_NC_0049_0170,01-Jan-1925,-175.623841905786,422768.51395127,4042160.49368609
usa_NC_0049_0169,01-Jan-1925,-180.021760014894,422773.981789403,4042110.68664836
usa_NC_0049_0168,01-Jan-1925,-182.722734718196,422781.125744576,4042061.15172004
usa_NC_0049_0167,01-Jan-1925,-187.164186695565,422786.538388188,4042011.39872956
usa_NC_0049_0166,14-Mar-1962,-130.130731555015,422852.785354052,4041970.93346364
usa_NC_0049_0165,01-Jan-1925,-191.512061830646,422801.851448215,4041912.57790687
usa_NC_0049_0164,01-Jan-1925,-193.199334436541,422809.989573615,4041863.2410136
usa_NC_0049_0163,01-Jan-1925,-196.524095954792,422816.507270974,4041813.65673696
usa_NC_0049_0162,01-Jan-1925,-197.804091499324,422825.057520791,4041764.33587952
usa_NC_0049_0161,01-Jan-1925,-196.379249172976,422836.328336181,4041715.20391698
usa_NC_0049_0160,01-Jan-1925,-199.338468830844,422843.261142256,4041665.40775403
usa_NC_0049_0159,14-Mar-1962,-159.148059118057,422892.869787143,4041622.25160962
usa_NC_0049_0158,14-Mar-1962,-157.222357137139,422904.625756656,4041573.2477958
usa_NC_0049_0157,01-Jan-1925,-203.074666469243,422869.14413516,4041516.81261594
usa_NC_0049_0156,01-Jan-1925,-202.091514452931,422879.973929653,4041467.63360492
usa_NC_0049_0155,01-Jan-1925,-203.460287939629,422888.478145783,4041418.09005604
usa_NC_0049_0154,01-Jan-1925,-203.0253778213,422898.764293664,4041368.83380838
usa_NC_0049_0153,01-Jan-1925,-208.939295955341,422902.777178843,4041318.57128336
usa_NC_0049_0152,01-Jan-1925,-209.327285670909,422912.249680789,4041269.18731242
usa_NC_0049_0151,01-Jan-1925,-205.851101140523,422925.53771267,4041220.42907652
usa_NC_0049_0150,01-Jan-1925,-204.665255668837,422936.562185241,4041171.31023086
usa_NC_0049_0149,01-Jan-1925,-204.707057897642,422946.373448383,4041121.99767379
usa_NC_0049_0148,01-Jan-1925,-207.304183308312,422953.661669091,4041072.27076179
usa_NC_0049_0147,01-Jan-1925,-203.517795831363,422967.249722041,4041023.59416963
usa_NC_0049_0146,01-Jan-1925,-204.500512354408,422976.129954062,4040974.13906445
usa_NC_0049_0145,01-Jan-1925,-208.040369451916,422982.487056159,4040924.26076745
usa_NC_0049_0144,01-Jan-1925,-210.603354550803,422989.808129895,4040874.54367515
usa_NC_0049_0143,01-Jan-1925,-211.586928422078,422998.686853947,4040825.0917411
usa_NC_0049_0142,01-Jan-1925,-212.645984905698,423007.490687248,4040775.6293773
usa_NC_0049_0141,01-Jan-1925,-215.323094902725,423014.698997971,4040725.89417871
usa_NC_0049_0140,01-Jan-1925,-215.119809878724,423024.746436756,4040676.6504663
usa_NC_0049_0139,01-Jan-1925,-211.085822642487,423038.56794579,4040628.06915057
usa_NC_0049_0138,01-Jan-1925,-209.01124341231,423050.456649453,4040579.16085197
usa_NC_0049_0137,01-Jan-1925,-208.60021390087,423060.705062395,4040529.97157395
usa_NC_0049_0136,01-Jan-1925,-208.750566217536,423070.400131579,4040480.6865303
usa_NC_0049_0135,01-Jan-1925,-205.912929764947,423083.037623831,4040431.92513007
usa_NC_0049_0134,01-Jan-1925,-205.890423485678,423092.902442782,4040382.67274587
usa_NC_0049_0133,01-Jan-1925,-208.987863949336,423099.696040451,4040332.86785041
usa_NC_0049_0132,01-Jan-1925,-208.482669368796,423110.036446097,4040283.6987599
usa_NC_0049_0131,01-Jan-1925,-207.847927498576,423120.504146631,4040234.55375796
usa_NC_0049_0130,01-Jan-1925,-207.913461611298,423130.282647415,4040185.28404486
usa_NC_0049_0129,01-Jan-1925,-207.289329629434,423140.73956728,4040136.13884789
usa_NC_0049_0128,01-Jan-1925,-206.875008869003,423150.989913085,4040086.95669335
usa_NC_0049_0127,01-Jan-1925,-203.094834853454,423164.549772433,4040038.3894833
usa_NC_0049_0126,01-Jan-1925,-197.119998875775,423180.265920145,4039990.2314372
usa_NC_0049_0125,01-Jan-1925,-197.053227612391,423198.723763857,4039898.2022436
usa_NC_0049_0124,01-Jan-1925,-205.682357645771,423210.530967294,4039795.07747352
usa_NC_0049_0123,01-Oct-1925,-226.645807363321,423209.114517,4039695.18297177
usa_NC_0049_0122,01-Oct-1925,-223.325454926646,423230.53753284,4039604.91897673
usa_NC_0049_0121,01-Jan-1858,-301.650213588504,423186.030435271,4039427.93372971
usa_NC_0049_0120,01-Jan-1858,-305.763362820464,423212.263941145,4039275.6607935
usa_NC_0049_0119,01-Jan-1858,-306.204070489268,423246.296611654,4039103.09952453
usa_NC_0049_0118,14-Mar-1962,-194.027766743938,423401.587867275,4038898.43431601
usa_NC_0049_0117,14-Mar-1962,-187.720008689711,423448.393387211,4038696.39243668
usa_NC_0049_0116,14-Mar-1962,-184.390250553635,423506.819113946,4038421.00104794
usa_NC_0049_0115,01-Jan-1857,-238.287019659414,423564.932780271,4037855.12671075
usa_NC_0049_0114,01-Jan-1857,-189.664087417997,423710.435530063,4037375.11439088
usa_NC_0049_0113,01-Jan-1857,-146.041462488651,423841.065062459,4036944.0150991
usa_NC_0049_0112,01-Jan-1857,-114.670670469335,423934.966415524,4036634.19246123
usa_NC_0049_0111,01-Jan-1857,-88.1457511999406,424007.959261515,4036404.27382367
usa_NC_0049_0110,01-Jan-1857,-66.416220444356,424058.953588487,4036259.97165018
usa_NC_0049_0109,01-Jan-1857,40.6943644281073,424182.95045084,4036186.06335531
usa_NC_0049_0108,01-Jan-1857,-3.06547778783852,424156.47483697,4036095.23725253
usa_NC_0049_0107,01-Jan-1857,5.42310790918668,424174.510062032,4036048.30211667
usa_NC_0049_0106,01-Jan-1857,63.8122310809154,424240.853799773,4036014.27096011
usa_NC_0049_0105,01-Jan-1857,61.6164339520683,424248.545539872,4035964.57278825
usa_NC_0049_0104,01-Jan-1857,60.4458825572499,424257.229811382,4035915.13976342
usa_NC_0049_0103,01-Jan-1857,60.5144024590079,424267.113620132,4035866.02716888
usa_NC_0049_0102,01-Jan-1857,60.9013371270171,424277.305685931,4035816.99690959
usa_NC_0049_0101,01-Jan-1857,61.3465195702718,424287.554137734,4035767.98173004
usa_NC_0049_0100,01-Jan-1857,2.23862057317751,424240.149356243,4035703.56713701
usa_NC_0049_0099,01-Jan-1857,50.8124577354661,424296.991128852,4035666.9969338
usa_NC_0049_0098,01-Jan-1857,48.6017328656171,424304.668455103,4035617.29471336
usa_NC_0049_0097,01-Jan-1857,-2.82888175547964,424264.696093633,4035554.86506253
usa_NC_0049_0096,01-Jan-1857,1.55012602515217,424278.75293093,4035506.86682247
usa_NC_0049_0095,01-Jan-1857,9.75238750377889,424296.511052479,4035459.85721536
