angle_rad,angle_deg,wave_pdf,wave_cdf
-0.602138591938044,-34.5,0.00860199848292765,0.10750410476044
-0.5846852994181,-33.5,0.008792649622527,0.116296754382967
-0.567232006898157,-32.5,0.00940337347612397,0.125700127859091
-0.549778714378214,-31.5,0.00996694600643926,0.13566707386553
-0.53232542185827,-30.5,0.0105353923779059,0.146202466243436
-0.514872129338327,-29.5,0.0114018080273055,0.157604274270741
-0.497418836818384,-28.5,0.0116831253979244,0.169287399668666
-0.479965544298441,-27.5,0.0118397745448061,0.181127174213472
-0.462512251778497,-26.5,0.012381221231519,0.193508395444991
-0.445058959258554,-25.5,0.0123184273850012,0.205826822829992
-0.427605666738611,-24.5,0.013127552180213,0.218954375010205
-0.410152374218667,-23.5,0.0137120653271885,0.232666440337394
-0.392699081698724,-22.5,0.013985180478525,0.246651620815918
-0.375245789178781,-21.5,0.0140981804669421,0.260749801282861
-0.357792496658838,-20.5,0.015013271690504,0.275763072973365
-0.340339204138894,-19.5,0.0162538534022777,0.292016926375642
-0.322885911618951,-18.5,0.0165885564572401,0.308605482832882
-0.305432619099008,-17.5,0.0167310615035993,0.325336544336482
-0.287979326579064,-16.5,0.017413897836614,0.342750442173096
-0.270526034059121,-15.5,0.0177673561148897,0.360517798287985
-0.253072741539178,-14.5,0.0194361299557083,0.379953928243694
-0.235619449019234,-13.5,0.0193973870884733,0.399351315332167
-0.218166156499291,-12.5,0.0201757150869697,0.419527030419137
-0.200712863979348,-11.5,0.0202906138296464,0.439817644248783
-0.183259571459405,-10.5,0.0206488967411032,0.460466540989886
-0.165806278939461,-9.5,0.0199101331039068,0.480376674093793
-0.148352986419518,-8.5,0.0199530851957907,0.500329759289584
-0.130899693899575,-7.5,0.0196507491490191,0.519980508438603
-0.113446401379631,-6.5,0.0183951623077776,0.53837567074638
-0.0959931088596881,-5.5,0.0186324440954717,0.557008114841852
-0.0785398163397448,-4.5,0.0176251715988656,0.574633286440718
-0.0610865238198015,-3.5,0.0170525302498681,0.591685816690586
-0.0436332312998582,-2.5,0.0167342376878352,0.608420054378421
-0.0261799387799149,-1.5,0.0157929384745024,0.624212992852924
-0.00872664625997165,-0.5,0.0153234689331494,0.639536461786073
0.00872664625997165,0.5,0.0148310154947562,0.654367477280829
0.0261799387799149,1.5,0.0143236901288453,0.668691167409674
0.0436332312998582,2.5,0.0136757525142901,0.682366919923965
0.0610865238198015,3.5,0.0127670084517099,0.695133928375674
0.0785398163397448,4.5,0.0125757901372824,0.707709718512957
0.0959931088596881,5.5,0.0114740960709216,0.719183814583878
0.113446401379631,6.5,0.0114631202893768,0.730646934873255
0.130899693899575,7.5,0.0102961203863838,0.740943055259639
0.148352986419518,8.5,0.00970804065354481,0.750651095913184
0.165806278939461,9.5,0.00887149153397564,0.759522587447159
0.183259571459405,10.5,0.00837683245572017,0.76789941990288
0.200712863979348,11.5,0.007721889579789,0.775621309482669
0.218166156499291,12.5,0.0076156999374382,0.783237009420107
0.235619449019234,13.5,0.00712177443363317,0.79035878385374
0.253072741539178,14.5,0.00675169185718967,0.79711047571093
0.270526034059121,15.5,0.00649633177579639,0.803606807486726
0.287979326579064,16.5,0.00625426554995923,0.809861073036685
0.305432619099008,17.5,0.00608965842132354,0.815950731458009
0.322885911618951,18.5,0.0060597856101295,0.822010517068138
