id,date_init,x_init,UTM_E_init,UTM_N_init,date_now,x_now,UTM_E_now,UTM_N_now,dx
usa_NC_0032_0059,01-Jan-1852,2009.17251760894,453333.777966425,3900350.17932736,08-Dec-2019,1098.16505904815,452357.554478,3900586.41450816,-911.00745856079
usa_NC_0032_0060,01-Jan-1852,2035.27413887519,453351.406724706,3900395.16305499,08-Dec-2019,1112.1340010586,452364.286884877,3900624.01084679,-923.14013781659
usa_NC_0032_0061,01-Jan-1852,2048.53737318125,453355.095183763,3900444.39100206,08-Dec-2019,1124.81058341827,452368.468251272,3900667.77823554,-923.72678976298
usa_NC_0032_0062,01-Jan-1852,2060.63251036016,453357.545309446,3900493.85487227,08-Dec-2019,1139.37096909433,452374.663571632,3900711.08067523,-921.26154126583
usa_NC_0032_0063,01-Jan-1852,2074.74848217245,453362.159649944,3900542.80114503,08-Dec-2019,1156.63961065574,452383.744627536,3900753.76288073,-918.10887151671
usa_NC_0032_0064,01-Jan-1852,2090.00911072558,453367.99820224,3900591.46254077,08-Dec-2019,1176.75566016098,452395.84982871,3900795.84233391,-913.2534505646
usa_NC_0032_0065,01-Jan-1872,1809.17567829428,453059.003340623,3900704.6086992,08-Dec-2019,1198.33130170649,452409.493397484,3900837.67196898,-610.84437658779
usa_NC_0032_0066,01-Jan-1872,1830.61454098052,453071.851399561,3900749.72133809,08-Dec-2019,1221.74468863276,452425.282057582,3900878.14534679,-608.86985234776
usa_NC_0032_0067,01-Jan-1872,1845.50655515822,453077.838420178,3900795.75859004,08-Dec-2019,1244.3734600671,452440.425081895,3900917.84559254,-601.13309509112
usa_NC_0032_0068,01-Jan-1852,2151.63127451406,453392.194335831,3900784.85294991,08-Dec-2019,1268.34470665149,452456.972666201,3900957.36795985,-883.28656786257
usa_NC_0032_0069,01-Jan-1852,2173.33237132243,453404.954434476,3900831.74403657,08-Dec-2019,1289.89469816643,452470.93951648,3900997.44887344,-883.437673156
usa_NC_0032_0070,01-Jan-1852,2199.2817781939,453422.193231039,3900877.90248137,08-Dec-2019,1313.1318153849,452486.674238884,3901037.29261695,-886.149962809
usa_NC_0032_0071,01-Jan-1852,2218.68099489559,453432.507689674,3900925.28526061,08-Dec-2019,1336.22465581935,452502.238569973,3901077.25277336,-882.45633907624
usa_NC_0032_0072,01-Jan-1852,2237.63777525114,453442.357260685,3900972.73662214,08-Dec-2019,1361.29396197428,452519.865733707,3901116.97625835,-876.34381327686
usa_NC_0032_0073,01-Jan-1852,2258.84113345009,453454.583321795,3901019.76011859,08-Dec-2019,1387.66397439598,452538.903861276,3901156.27665818,-871.17715905411
usa_NC_0032_0074,01-Jan-1852,2281.64539234892,453468.492508789,3901066.53051404,08-Dec-2019,1415.66453940173,452559.665755972,3901195.27189575,-865.98085294719
usa_NC_0032_0075,01-Jan-1852,2300.90487047593,453478.677148171,3901113.84982829,08-Dec-2019,1446.92060792333,452583.804625149,3901233.98132933,-853.9842625526
usa_NC_0032_0076,01-Jan-1852,2322.91435273866,453491.740391821,3901160.79765013,08-Dec-2019,1475.9237867559,452605.541856401,3901273.21226581,-846.99056598276
usa_NC_0032_0077,01-Jan-1872,2039.9717313608,453185.940865058,3901247.18931719,08-Dec-2019,1504.63789267648,452626.386969218,3901315.43246813,-535.33383868432
usa_NC_0032_0078,01-Jan-1872,2072.52943210585,453199.706376697,3901344.4535392,08-Dec-2019,1557.87152217576,452661.346126681,3901412.15140625,-514.65790993009
