id,date_init,x_init,UTM_E_init,UTM_N_init,date_now,x_now,UTM_E_now,UTM_N_now,dx
usa_NC_0032_0118,01-Jan-1852,3048.18326372099,453676.976377144,3903935.07845646,08-Dec-2019,2441.02546621153,453048.869699489,3903979.84553684,-607.15779750946
usa_NC_0032_0119,01-Jan-1852,3063.74527635582,453682.881830688,3903984.94310926,08-Dec-2019,2468.04359419469,453066.419180554,3904029.90321368,-595.70168216113
usa_NC_0032_0120,01-Jan-1852,3079.35786293404,453688.838615183,3904034.80897723,08-Dec-2019,2469.286663885,453057.293124073,3904081.91717884,-610.07119904904
usa_NC_0032_0121,01-Jan-1852,3096.36832517414,453696.24197609,3904084.56942679,08-Dec-2019,2486.48213176917,453064.675376777,3904132.72740258,-609.88619340497
usa_NC_0032_0122,01-Jan-1852,3112.04712351404,453702.250387301,3904134.51483442,08-Dec-2019,2512.45316009152,453081.132688736,3904182.90702933,-599.59396342252
usa_NC_0032_0123,01-Jan-1852,3131.1565773325,453711.807099408,3904184.21091112,08-Dec-2019,2535.29538130595,453094.355760201,3904233.30473671,-595.86119602655
usa_NC_0032_0124,01-Jan-1872,3043.21644062596,453610.424320563,3904242.78258939,08-Dec-2019,2553.53871614642,453102.876302918,3904283.76612003,-489.67772447954
usa_NC_0032_0125,01-Jan-1872,3055.69108732174,453613.094251818,3904293.08322446,08-Dec-2019,2569.55006429094,453109.085305768,3904334.40479633,-486.1410230308
usa_NC_0032_0126,01-Jan-1852,3182.51515652272,453734.345839141,3904333.51730135,08-Dec-2019,2601.60054703967,453131.928458896,3904383.65261803,-580.91460948305
usa_NC_0032_0127,01-Jan-1852,3200.23035521549,453742.480597564,3904383.21405184,08-Dec-2019,2602.13407933192,453122.089515465,3904435.61314775,-598.09627588357
usa_NC_0032_0128,01-Jan-1852,3217.47936837254,453750.133968205,3904432.94075814,08-Dec-2019,2635.44105991544,453146.247493066,3904484.69339231,-582.0383084571
usa_NC_0032_0129,01-Jan-1852,3234.32194947588,453757.367598634,3904482.69385323,08-Dec-2019,2635.59659799622,453136.011308873,3904536.71284225,-598.72535147966
usa_NC_0032_0130,01-Jan-1872,3115.15115156591,453623.413046054,3904544.88716524,08-Dec-2019,2663.84545743269,453154.930714929,3904586.1957046,-451.30569413322
usa_NC_0032_0131,01-Jan-1872,3133.40342109211,453632.078513615,3904594.66888694,08-Dec-2019,2686.48136343977,453168.029795333,3904636.16101945,-446.92205765234
usa_NC_0032_0132,01-Jan-1872,3149.31328182798,453638.346138332,3904644.49627598,08-Dec-2019,2707.85142598589,453179.903081441,3904685.80067754,-441.46185584209
usa_NC_0032_0133,01-Jan-1872,3165.13528204169,453644.677702961,3904693.55530646,08-Dec-2019,2705.08855908156,453167.127871797,3904735.63283912,-460.04672296013
usa_NC_0032_0134,01-Jan-1872,3182.97230650174,453653.097834471,3904742.44565782,08-Dec-2019,2728.13387367357,453181.14501017,3904783.09318707,-454.83843282817
usa_NC_0032_0135,01-Jan-1852,3321.62552478236,453786.825641478,3904780.81186432,08-Dec-2019,2743.74584941455,453187.443673255,3904831.24504952,-577.87967536781
usa_NC_0032_0136,01-Jan-1872,3207.75321569735,453658.632311566,3904841.21368738,08-Dec-2019,2764.12447725708,453198.682036526,3904879.00250174,-443.62873844027
usa_NC_0032_0137,01-Jan-1852,3349.00917411675,453794.953244589,3904879.88550773,08-Dec-2019,2784.32660139837,453209.731179672,3904926.80612937,-564.68257271838
usa_NC_0032_0138,01-Jan-1852,3353.46972429717,453789.453211112,3904930.17329377,08-Dec-2019,2803.09954067027,453219.293610596,3904974.75624947,-550.3701836269
usa_NC_0032_0139,01-Jan-1872,3254.15446434424,453676.496432463,3904988.61483081,08-Dec-2019,2820.95147067693,453227.897361436,3905022.80376869,-433.20299366731
usa_NC_0032_0140,01-Jan-1872,3272.41542227898,453685.339218979,3905037.55352183,08-Dec-2019,2841.86439445089,453239.665459712,3905070.63690588,-430.55102782809
usa_NC_0032_0141,01-Jan-1852,3395.35086950445,453802.472395951,3905078.75282616,08-Dec-2019,2859.45930665267,453247.934475547,3905119.04792305,-535.89156285178
usa_NC_0032_0142,01-Jan-1852,3409.87531039028,453807.383011485,3905128.30097156,08-Dec-2019,2880.32341138929,453259.56933961,3905167.29867543,-529.55189900099
usa_NC_0032_0143,01-Jan-1852,3420.07578823384,453807.821070385,3905178.16494505,08-Dec-2019,2901.21077571157,453271.223360169,3905215.57226238,-518.86501252227
usa_NC_0032_0144,01-Jan-1852,3425.82345116631,453803.657363503,3905228.33378669,08-Dec-2019,2921.7082105524,453282.469341798,3905263.89789825,-504.11524061391
